Elevation (m),Area (sq.km),Storage (mcm)
1303.0,0.0,0.0
1304.0,0.1341071896607398,0.048625709078350406
1305.0,0.30653071106800595,0.20829221649979948
1306.0,0.5268496828433021,0.510932823748637
1307.0,0.7375895217231456,0.9696111541593454
1308.0,1.0249621382876328,1.609728697548973
1309.0,1.3027555648608717,2.453783916326906
1310.0,1.6380235604236446,3.5213722454948684
1311.0,1.9924495933941408,4.838620931721823
1312.0,2.366034006347133,6.420045112046085
1313.0,2.9216208594936113,8.338946228511137
1314.0,5.306813017440058,11.324709917292234
1315.0,7.4812652794108665,15.965199228441078
1316.0,10.153830396496573,22.364923148633522
1317.0,12.433651807114066,30.561621034169185
1318.0,15.144533684164765,40.56908226523447
1319.0,17.692569217172657,52.48455825998606
1320.0,22.357584384418868,67.0178392195975
1321.0,26.802279209590694,84.85694263968486
1322.0,32.77962981683857,106.47796501510481
1323.0,49.73460722845626,136.42051545458995
1325.0,272.02569518569305,369.9407658838303
1326.0,279.2580095505765,569.9898360595715
1327.0,285.54285161984296,774.9435710405588
1328.0,290.06035134928294,983.8178445355949
1329.0,293.3165620204806,1195.512409157175
1330.0,296.0124044082349,1409.3675519269082
1331.0,298.4547962760114,1625.0864382923608
1332.0,300.8299229019807,1842.553672914078
1333.0,302.53,2061.5
1334.0,304.01199856525864,2281.6010062373193
1335.0,305.46552414245986,2502.767423533251
1336.0,306.74920571492396,2724.9274019594554
1337.0,307.73029601492095,2947.9082113851764
1338.0,308.6329540490471,3171.5734095222538
1339.0,309.4950658465862,3395.878725202721
1340.0,310.2709693876762,3620.778435744907
1341.0,310.777899660679,3846.1433564291706
1342.0,311.07704143356625,4071.8014828816085
1343.0,311.2279131906142,4297.622178868875
1344.0,311.28827943326166,4523.519805082446
1345.0,311.32189743764167,4749.452267624907
1346.0,311.33481844454246,4975.400696818111
1347.0,311.34344219349214,5201.357109336686
1348.0,311.34428995186346,5427.317150639521
1349.0,311.34428995186346,5653.277191942356
1350.0,311.34428995186346,5879.2372332451905
1351.0,311.34428995186346,6105.1980003048775
1352.0,311.34428995186346,6331.158041607712
